Refdate,INDUSTRY_SECTOR,0
2020-01-07,"Consumer, Cyclical",229.018
2020-01-07,Energy,102.414
2020-01-07,Technology,-449.263
2020-01-07,Utilities,43.39092726338844
2020-01-08,Basic Materials,386.4292967479675
2020-01-08,"Consumer, Cyclical",236.245
2020-01-08,Energy,101.77825
2020-01-08,Technology,-413.545
2020-01-08,Utilities,44.51465794920239
2020-01-09,Basic Materials,384.4450162601626
2020-01-09,"Consumer, Cyclical",232.5065
2020-01-09,Energy,99.908
2020-01-09,Technology,-417.119
2020-01-09,Utilities,45.05403851304504
2020-01-10,Basic Materials,418.3157340425532
2020-01-10,"Consumer, Cyclical",230.102
2020-01-10,Energy,99.077
2020-01-10,Technology,-452.113
2020-01-10,Utilities,43.85927869251462
2020-01-13,Basic Materials,404.0914840425532
2020-01-13,"Consumer, Cyclical",228.395
2020-01-13,Energy,97.7445
2020-01-13,Technology,-427.741
2020-01-13,Utilities,41.99636222855966
2020-01-14,Basic Materials,382.8992398373984
2020-01-14,"Consumer, Cyclical",228.072
2020-01-14,Energy,97.73425
2020-01-14,Technology,-425.602
2020-01-14,Utilities,41.24333643041027
2020-01-15,Basic Materials,389.9456788617886
2020-01-15,"Consumer, Cyclical",227.35
2020-01-15,Energy,99.09575
2020-01-15,Technology,-431.596
2020-01-15,Utilities,41.64671730684093
2020-01-16,Basic Materials,415.9372021276596
2020-01-16,"Consumer, Cyclical",221.587
2020-01-16,Energy,98.40675
2020-01-16,Technology,-437.83
2020-01-16,Utilities,41.041341049345526
2020-01-17,Basic Materials,386.23855284552843
2020-01-17,"Consumer, Cyclical",222.498
2020-01-17,Energy,97.81425
2020-01-17,Technology,-471.328
2020-01-17,Utilities,40.19075501982593
2020-01-20,Basic Materials,382.3513211382114
2020-01-20,"Consumer, Cyclical",220.042
2020-01-20,Energy,97.17225
2020-01-20,Technology,-432.208
2020-01-20,Utilities,38.416298877161864
2020-01-21,Basic Materials,386.07158943089433
2020-01-21,"Consumer, Cyclical",225.025
2020-01-21,Energy,97.5395
2020-01-21,Technology,-400.263
2020-01-21,Utilities,38.79768431503638
2020-01-22,Basic Materials,411.40221808510637
2020-01-22,"Consumer, Cyclical",225.415
2020-01-22,Energy,97.51825
2020-01-22,Technology,-367.323
2020-01-22,Utilities,38.71535951888988
2020-01-23,Basic Materials,390.9323536585366
2020-01-23,"Consumer, Cyclical",241.844
2020-01-23,Energy,100.14375
2020-01-23,Technology,-385.598
2020-01-23,Utilities,37.94418324679787
2020-01-24,Basic Materials,414.7978829787234
2020-01-24,"Consumer, Cyclical",239.031
2020-01-24,Energy,101.6945
2020-01-24,Technology,-422.273
2020-01-24,Utilities,35.82434587242692
2020-01-27,Basic Materials,407.4183861788618
2020-01-27,"Consumer, Cyclical",252.488
2020-01-27,Energy,109.79175
2020-01-27,Technology,-343.22
2020-01-27,Utilities,37.65981973587002
2020-01-28,Basic Materials,399.90183333333334
2020-01-28,"Consumer, Cyclical",268.633
2020-01-28,Energy,109.5
2020-01-28,Technology,-346.202
2020-01-28,Utilities,37.89995667454563
2020-01-29,Basic Materials,361.9890569105691
2020-01-29,"Consumer, Cyclical",267.764
2020-01-29,Energy,109.97775
2020-01-29,Technology,-356.816
2020-01-29,Utilities,36.790401176749235
2020-01-30,Basic Materials,386.5481329787234
2020-01-30,"Consumer, Cyclical",281.7345
2020-01-30,Energy,114.99775
2020-01-30,Technology,-316.829
2020-01-30,Utilities,36.84170762384234
2020-01-31,Basic Materials,368.4041178861789
2020-01-31,"Consumer, Cyclical",282.2395
2020-01-31,Energy,116.8765
2020-01-31,Technology,-339.666
2020-01-31,Utilities,35.789792191978606
2020-02-03,Basic Materials,377.38760162601625
2020-02-03,"Consumer, Cyclical",261.07
2020-02-03,Energy,118.19675
2020-02-03,Technology,-294.107
2020-02-03,Utilities,36.00103080678688
2020-02-04,Basic Materials,382.35543085106383
2020-02-04,"Consumer, Cyclical",254.024
2020-02-04,Energy,115.1895
2020-02-04,Technology,-349.325
2020-02-04,Utilities,37.52979077603758
2020-02-05,Basic Materials,345.5480772357724
2020-02-05,"Consumer, Cyclical",245.894
2020-02-05,Energy,113.991
2020-02-05,Technology,-349.325
2020-02-05,Utilities,37.742016932423844
2020-02-06,Basic Materials,296.051164893617
2020-02-06,"Consumer, Cyclical",243.91
2020-02-06,Energy,112.0485
2020-02-06,Technology,-375.987
2020-02-06,Utilities,37.97265641001631
2020-02-07,Basic Materials,284.7073244680851
2020-02-07,"Consumer, Cyclical",242.213
2020-02-07,Energy,111.83525
2020-02-07,Technology,-396.877
2020-02-07,Utilities,37.74758286026284
2020-02-10,Basic Materials,295.78898936170214
2020-02-10,"Consumer, Cyclical",248.154
2020-02-10,Energy,112.87125
2020-02-10,Technology,-383.686
2020-02-10,Utilities,38.26841836013856
2020-02-11,Basic Materials,231.79269918699188
2020-02-11,"Consumer, Cyclical",292.1535
2020-02-11,Energy,110.7505
2020-02-11,Technology,-419.335
2020-02-11,Utilities,38.25336588115735
2020-02-12,Basic Materials,279.50878191489363
2020-02-12,"Consumer, Cyclical",292.1955
2020-02-12,Energy,109.18525
2020-02-12,Technology,-399.976
2020-02-12,Utilities,38.99540182740047
2020-02-13,Basic Materials,202.59119512195122
2020-02-13,"Consumer, Cyclical",290.5115
2020-02-13,Energy,108.7575
2020-02-13,Technology,-382.246
2020-02-13,Utilities,39.168580437017305
2020-02-14,Basic Materials,259.66576063829785
2020-02-14,"Consumer, Cyclical",289.2795
2020-02-14,Energy,106.02975
2020-02-14,Technology,-404.519
2020-02-14,Utilities,39.82429526553111
2020-02-17,Basic Materials,265.7795957446809
2020-02-17,"Consumer, Cyclical",287.571
2020-02-17,Energy,105.53125
2020-02-17,Technology,-385.13
2020-02-17,Utilities,38.67087831926802
2020-02-18,Basic Materials,197.09922764227642
2020-02-18,"Consumer, Cyclical",288.928
2020-02-18,Energy,104.70575
2020-02-18,Technology,-404.255
2020-02-18,Utilities,39.33627691200235
2020-02-19,Basic Materials,189.93106097560977
2020-02-19,"Consumer, Cyclical",286.5525
2020-02-19,Energy,104.406
2020-02-19,Technology,-412.965
2020-02-19,Utilities,38.261675308164264
2020-02-20,Basic Materials,263.0291755319149
2020-02-20,"Consumer, Cyclical",284.5165
2020-02-20,Energy,104.31425
2020-02-20,Technology,-411.968
2020-02-20,Utilities,39.006993807108415
2020-02-21,Basic Materials,279.55087234042554
2020-02-21,"Consumer, Cyclical",286.8635
2020-02-21,Energy,103.73175
2020-02-21,Technology,-458.429
2020-02-21,Utilities,37.85884790631449
2020-02-24,Basic Materials,389.5857872340425
2020-02-24,"Consumer, Cyclical",336.571
2020-02-24,Energy,116.2265
2020-02-24,Technology,-310.163
2020-02-24,Utilities,38.69195316929119
2020-02-25,Basic Materials,351.89846341463414
2020-02-25,"Consumer, Cyclical",355.215
2020-02-25,Energy,124.662
2020-02-25,Technology,-235.54
2020-02-25,Utilities,38.052186328268355
2020-02-26,Basic Materials,398.76176795580113
2020-02-26,"Consumer, Cyclical",377.6125
2020-02-26,Energy,128.4325
2020-02-26,Technology,-74.977
2020-02-26,Utilities,41.597768169177584
2020-02-27,Basic Materials,464.2758292682927
2020-02-27,"Consumer, Cyclical",425.956
2020-02-27,Energy,142.94025
2020-02-27,Technology,-150.675
2020-02-27,Utilities,45.10148186197794
2020-02-28,Basic Materials,497.9785478723404
2020-02-28,"Consumer, Cyclical",429.433
2020-02-28,Energy,173.29875
2020-02-28,Technology,-2.507
2020-02-28,Utilities,45.79800449259187
2020-03-02,Basic Materials,494.9145243902439
2020-03-02,"Consumer, Cyclical",435.144
2020-03-02,Energy,186.64175
2020-03-02,Technology,78.717
2020-03-02,Utilities,48.37232213845996
2020-03-03,Basic Materials,497.35747967479676
2020-03-03,"Consumer, Cyclical",426.9
2020-03-03,Energy,170.19575
2020-03-03,Technology,59.438
2020-03-03,Utilities,53.864474353324965
2020-03-04,Basic Materials,504.59609349593495
2020-03-04,"Consumer, Cyclical",429.539
2020-03-04,Energy,166.0105
2020-03-04,Technology,64.16
2020-03-04,Utilities,50.69595957183706
2020-03-05,Basic Materials,507.94743902439023
2020-03-05,"Consumer, Cyclical",439.095
2020-03-05,Energy,170.21375
2020-03-05,Technology,207.251
2020-03-05,Utilities,65.95552171178423
2020-03-06,Basic Materials,526.6634471544716
2020-03-06,"Consumer, Cyclical",458.729
2020-03-06,Energy,196.94975
2020-03-06,Technology,407.925
2020-03-06,Utilities,99.10896688632744
2020-03-09,Basic Materials,545.1263536585366
2020-03-09,"Consumer, Cyclical",509.646
2020-03-09,Energy,395.054
2020-03-09,Technology,410.637
2020-03-09,Utilities,70.61007644119249
2020-03-10,Basic Materials,538.3324419889502
2020-03-10,"Consumer, Cyclical",519.533
2020-03-10,Energy,391.544
2020-03-10,Technology,410.396
2020-03-10,Utilities,90.97142700725907
