Refdate;Italy;Spain;France;;;
25/11/2019;227.0712291;272.1823198;289.581632;;;
26/11/2019;223.4010933;265.9133664;283.9136115;;;
27/11/2019;219.4922056;259.8344615;281.5439555;;;
28/11/2019;220.4094388;256.4460614;279.309971;;;
29/11/2019;218.1641974;252.2845722;276.7583961;;;
02/12/2019;216.9603594;250.4360178;273.7554327;;;
03/12/2019;220.6962668;259.6758069;278.7259324;;;
04/12/2019;218.4611629;252.6506845;276.4659361;;;
05/12/2019;214.1241163;243.9747145;271.2915562;;;
06/12/2019;211.1230021;236.974471;267.8509714;;;
09/12/2019;208.1226309;233.0922529;265.9362403;;;
10/12/2019;205.9891216;232.1637061;265.0645386;;;
11/12/2019;206.4891003;232.6395546;264.1448539;;;
12/12/2019;203.6377396;230.392928;261.7125798;;;
13/12/2019;206.1680467;222.667101;254.7527272;;;
16/12/2019;205.0382642;221.3855172;252.1268599;;;
17/12/2019;206.0441999;225.0557738;255.3984555;;;
18/12/2019;205.3152612;225.7845269;254.1649084;;;
19/12/2019;205.8224405;224.7383986;255.0728449;;;
20/12/2019;205.6281965;224.2177982;255.1211413;;;
23/12/2019;204.7268777;221.6525377;252.3080011;;;
24/12/2019;206.3660653;221.6253594;253.2118379;;;
27/12/2019;201.6627498;218.7436332;254.4459226;;;
30/12/2019;202.9227334;217.0503342;253.1169971;;;
31/12/2019;204.1025408;216.7889591;252.1308276;;;
02/01/2020;203.5996215;213.4240894;252.5937659;;;
03/01/2020;203.9853647;217.4203412;254.7154683;;;
06/01/2020;206.670711;221.8649305;258.256814;;;
07/01/2020;206.0904614;223.0394178;258.2311411;;;
08/01/2020;205.9980545;224.9433255;257.3799228;;;
09/01/2020;199.9847085;213.2940356;257.3103623;;;
10/01/2020;199.5296594;212.3265775;257.1363949;;;
13/01/2020;199.6457258;222.1122826;253.8686616;;;
14/01/2020;200.3735454;225.1484934;253.3318454;;;
15/01/2020;204.2802396;228.0302555;253.5658051;;;
16/01/2020;205.9071774;226.3377151;252.0025965;;;
17/01/2020;202.5921417;218.2397915;253.9942661;;;
20/01/2020;199.6212834;210.6013156;252.2867493;;;
21/01/2020;200.6229489;212.0040237;254.1628125;;;
22/01/2020;202.6449013;211.4820695;253.4472003;;;
23/01/2020;198.822786;217.0926957;255.5476928;;;
24/01/2020;196.697408;219.6646671;255.5529163;;;
27/01/2020;196.4056941;240.100672;267.9489634;;;
28/01/2020;193.8369485;236.5337658;266.684782;;;
29/01/2020;190.9782224;231.2701386;266.2844693;;;
30/01/2020;192.2967403;237.1778208;272.3318688;;;
31/01/2020;192.111164;240.0940064;276.4224972;;;
03/02/2020;192.3143634;242.6478566;275.328375;;;
04/02/2020;187.8357798;233.625139;270.2408591;;;
05/02/2020;182.9582024;222.3056171;266.4598229;;;
06/02/2020;175.4867123;210.1809839;263.04547;;;
07/02/2020;175.4196013;211.076183;265.9952492;;;
10/02/2020;177.4084705;214.9715201;268.6895324;;;
11/02/2020;173.3775698;208.6311939;261.3735526;;;
12/02/2020;167.5043321;203.2210384;258.8532749;;;
13/02/2020;165.2808675;205.1853823;260.3777166;;;
14/02/2020;170.6552715;203.0941432;257.9401815;;;
17/02/2020;169.6854429;204.2189245;254.8808103;;;
18/02/2020;171.6318223;207.2629407;255.9687176;;;
19/02/2020;170.9207199;204.9575777;253.0569219;;;
20/02/2020;172.5228966;204.4907569;251.5765023;;;
21/02/2020;174.8328997;207.1575554;253.0701263;;;
24/02/2020;199.7574716;236.645187;272.7532892;;;
25/02/2020;207.3388284;246.9353393;281.9418464;;;
26/02/2020;213.3331663;256.7986462;290.736364;;;
27/02/2020;230.8801501;280.5351243;310.4967559;;;
28/02/2020;259.4595819;317.3741215;344.5804939;;;
02/03/2020;266.1098822;314.643088;344.3282363;;;
03/03/2020;247.0869446;290.8282123;324.5181695;;;
04/03/2020;242.4942156;274.4570834;318.68827;;;
05/03/2020;257.2258173;292.1992726;331.2364603;;;
06/03/2020;290.2080001;332.0058286;366.6274518;;;
09/03/2020;374.9060097;436.279002;455.6648246;;;
10/03/2020;366.2921351;412.0188877;434.0029323;;;
