,Refdate,Ticker,Z_SPRD_MID,AMT_OUTSTANDING,Base
16046,2019-09-17,UV813622 Corp,16.755,1000000000,17755000000.0
16047,2019-09-18,UV813622 Corp,16.354,1000000000,17354000000.0
16048,2019-09-19,UV813622 Corp,16.359,1000000000,17359000000.0
16049,2019-09-20,UV813622 Corp,16.238,1000000000,17238000000.0
16050,2019-09-23,UV813622 Corp,16.286,1000000000,17286000000.0
16051,2019-09-24,UV813622 Corp,16.422,1000000000,17422000000.0
16052,2019-09-25,UV813622 Corp,16.155,1000000000,17155000000.000002
16053,2019-09-26,UV813622 Corp,16.178,1000000000,17178000000.0
16054,2019-09-27,UV813622 Corp,15.994,1000000000,16994000000.0
16055,2019-09-30,UV813622 Corp,16.157,1000000000,17157000000.0
16056,2019-10-01,UV813622 Corp,16.341,1000000000,17341000000.0
16057,2019-10-02,UV813622 Corp,16.416,1000000000,17416000000.0
16058,2019-10-03,UV813622 Corp,16.273,1000000000,17273000000.0
16059,2019-10-04,UV813622 Corp,16.163,1000000000,17163000000.0
16060,2019-10-07,UV813622 Corp,16.265,1000000000,17265000000.0
16061,2019-10-08,UV813622 Corp,16.126,1000000000,17126000000.000002
16062,2019-10-09,UV813622 Corp,16.244,1000000000,17244000000.0
16063,2019-10-10,UV813622 Corp,16.341,1000000000,17341000000.0
16064,2019-10-11,UV813622 Corp,15.947,1000000000,16947000000.0
16065,2019-10-14,UV813622 Corp,16.375,1000000000,17375000000.0
16066,2019-10-15,UV813622 Corp,16.267,1000000000,17267000000.0
16067,2019-10-16,UV813622 Corp,16.184,1000000000,17184000000.0
16068,2019-10-17,UV813622 Corp,16.247,1000000000,17247000000.0
16069,2019-10-18,UV813622 Corp,16.408,1000000000,17408000000.0
16070,2019-10-21,UV813622 Corp,16.445,1000000000,17445000000.0
16071,2019-10-22,UV813622 Corp,16.397,1000000000,17397000000.0
16072,2019-10-23,UV813622 Corp,16.429,1000000000,17429000000.0
16073,2019-10-24,UV813622 Corp,16.278,1000000000,17278000000.0
16074,2019-10-25,UV813622 Corp,16.245,1000000000,17245000000.0
16075,2019-10-28,UV813622 Corp,16.418,1000000000,17418000000.0
16076,2019-10-29,UV813622 Corp,16.521,1000000000,17521000000.0
16077,2019-10-30,UV813622 Corp,16.326,1000000000,17326000000.0
16078,2019-10-31,UV813622 Corp,16.09,1000000000,17090000000.0
16079,2019-11-01,UV813622 Corp,16.056,1000000000,17056000000.0
16080,2019-11-04,UV813622 Corp,15.902,1000000000,16902000000.000002
16081,2019-11-05,UV813622 Corp,16.022,1000000000,17021999999.999998
16082,2019-11-06,UV813622 Corp,15.583,1000000000,16582999999.999998
16083,2019-11-07,UV813622 Corp,15.481,1000000000,16481000000.000002
16084,2019-11-08,UV813622 Corp,14.893,1000000000,15893000000.0
16085,2019-11-11,UV813622 Corp,14.931000000000001,1000000000,15931000000.0
16086,2019-11-12,UV813622 Corp,14.48,1000000000,15480000000.0
16087,2019-11-13,UV813622 Corp,14.605,1000000000,15605000000.0
16088,2019-11-14,UV813622 Corp,14.664,1000000000,15664000000.0
16089,2019-11-15,UV813622 Corp,14.581,1000000000,15581000000.0
16090,2019-11-18,UV813622 Corp,14.739,1000000000,15739000000.0
16091,2019-11-19,UV813622 Corp,14.913,1000000000,15913000000.0
16092,2019-11-20,UV813622 Corp,14.796,1000000000,15796000000.0
16093,2019-11-21,UV813622 Corp,14.833,1000000000,15833000000.0
16094,2019-11-22,UV813622 Corp,14.681000000000001,1000000000,15681000000.0
16095,2019-11-25,UV813622 Corp,14.752,1000000000,15752000000.0
16096,2019-11-26,UV813622 Corp,14.632,1000000000,15632000000.0
16097,2019-11-27,UV813622 Corp,15.159,1000000000,16158999999.999998
16098,2019-11-28,UV813622 Corp,14.871,1000000000,15871000000.0
16099,2019-11-29,UV813622 Corp,14.804,1000000000,15804000000.0
16100,2019-12-02,UV813622 Corp,14.98,1000000000,15980000000.0
16101,2019-12-03,UV813622 Corp,15.012,1000000000,16012000000.0
16102,2019-12-04,UV813622 Corp,15.155,1000000000,16155000000.000002
16103,2019-12-05,UV813622 Corp,14.973,1000000000,15973000000.0
16104,2019-12-06,UV813622 Corp,14.815,1000000000,15815000000.0
16105,2019-12-09,UV813622 Corp,14.962,1000000000,15962000000.0
16106,2019-12-10,UV813622 Corp,15.031,1000000000,16030999999.999998
16107,2019-12-11,UV813622 Corp,14.948,1000000000,15948000000.0
16108,2019-12-12,UV813622 Corp,15.104,1000000000,16104000000.0
16109,2019-12-13,UV813622 Corp,15.175,1000000000,16175000000.0
16110,2019-12-16,UV813622 Corp,14.977,1000000000,15977000000.0
16111,2019-12-17,UV813622 Corp,15.008,1000000000,16008000000.0
16112,2019-12-18,UV813622 Corp,15.121,1000000000,16121000000.000002
16113,2019-12-19,UV813622 Corp,15.054,1000000000,16054000000.000002
16114,2019-12-20,UV813622 Corp,14.675,1000000000,15675000000.0
16115,2019-12-23,UV813622 Corp,15.394,1000000000,16393999999.999998
16116,2019-12-24,UV813622 Corp,14.549,1000000000,15549000000.0
16119,2019-12-27,UV813622 Corp,14.615,1000000000,15615000000.0
16120,2019-12-30,UV813622 Corp,14.969,1000000000,15969000000.0
16121,2019-12-31,UV813622 Corp,14.617,1000000000,15617000000.0
16123,2020-01-02,UV813622 Corp,14.745,1000000000,15745000000.0
16124,2020-01-03,UV813622 Corp,14.850999999999999,1000000000,15851000000.0
16125,2020-01-06,UV813622 Corp,15.024,1000000000,16024000000.0
16126,2020-01-07,UV813622 Corp,14.914,1000000000,15914000000.0
16127,2020-01-08,UV813622 Corp,14.956,1000000000,15956000000.0
16128,2020-01-09,UV813622 Corp,14.835,1000000000,15835000000.0
16129,2020-01-10,UV813622 Corp,13.233,1000000000,14233000000.0
16130,2020-01-13,UV813622 Corp,12.476,1000000000,13476000000.0
16131,2020-01-14,UV813622 Corp,12.188,1000000000,13188000000.0
16132,2020-01-15,UV813622 Corp,12.214,1000000000,13214000000.0
16133,2020-01-16,UV813622 Corp,12.002,1000000000,13002000000.0
16134,2020-01-17,UV813622 Corp,12.265,1000000000,13265000000.0
16135,2020-01-20,UV813622 Corp,11.992,1000000000,12992000000.0
16136,2020-01-21,UV813622 Corp,12.132,1000000000,13132000000.0
16137,2020-01-22,UV813622 Corp,11.894,1000000000,12894000000.0
16138,2020-01-23,UV813622 Corp,11.406,1000000000,12406000000.0
16139,2020-01-24,UV813622 Corp,11.248,1000000000,12248000000.0
16140,2020-01-27,UV813622 Corp,10.878,1000000000,11878000000.0
16141,2020-01-28,UV813622 Corp,10.728,1000000000,11728000000.0
16142,2020-01-29,UV813622 Corp,10.597,1000000000,11597000000.0
16143,2020-01-30,UV813622 Corp,10.4,1000000000,11400000000.0
16144,2020-01-31,UV813622 Corp,10.52,1000000000,11520000000.0
16145,2020-02-03,UV813622 Corp,10.376,1000000000,11376000000.0
16146,2020-02-04,UV813622 Corp,10.325,1000000000,11325000000.0
16147,2020-02-05,UV813622 Corp,10.488,1000000000,11488000000.0
16148,2020-02-06,UV813622 Corp,10.409,1000000000,11409000000.0
16149,2020-02-07,UV813622 Corp,10.315,1000000000,11315000000.0
16150,2020-02-10,UV813622 Corp,10.364,1000000000,11364000000.0
16151,2020-02-11,UV813622 Corp,10.474,1000000000,11474000000.0
16152,2020-02-12,UV813622 Corp,10.375,1000000000,11375000000.0
16153,2020-02-13,UV813622 Corp,10.264,1000000000,11264000000.0
16154,2020-02-14,UV813622 Corp,10.383,1000000000,11383000000.0
16155,2020-02-17,UV813622 Corp,10.212,1000000000,11212000000.0
16156,2020-02-18,UV813622 Corp,10.177,1000000000,11177000000.0
16157,2020-02-19,UV813622 Corp,10.06,1000000000,11060000000.0
16158,2020-02-20,UV813622 Corp,10.114,1000000000,11114000000.0
16159,2020-02-21,UV813622 Corp,10.236,1000000000,11236000000.0
16160,2020-02-24,UV813622 Corp,10.379,1000000000,11379000000.0
16161,2020-02-25,UV813622 Corp,10.246,1000000000,11246000000.0
16162,2020-02-26,UV813622 Corp,10.432,1000000000,11432000000.0
16163,2020-02-27,UV813622 Corp,10.514,1000000000,11514000000.0
16164,2020-02-28,UV813622 Corp,10.847,1000000000,11847000000.0
16165,2020-03-02,UV813622 Corp,11.439,1000000000,12439000000.0
