,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID,Z_SPRD_MID
INDUSTRY_SECTOR,Basic Materials,"Consumer, Cyclical",Energy,Technology,Utilities
Refdate,,,,,
2020-01-31,365.18425,281.2395,115.8765,-340.666,33.63933333333333
2020-02-03,374.40700000000004,260.07,117.19675000000001,-295.107,33.881166666666665
2020-02-04,379.5566666666667,253.024,114.1895,-350.325,35.50933333333334
2020-02-05,340.97600000000006,244.894,112.99099999999999,-350.325,35.714000000000006
2020-02-06,287.7703333333333,242.91,111.0485,-376.987,35.9665
2020-02-07,276.338,241.213,110.83524999999999,-397.877,35.70516666666666
2020-02-10,286.916,247.154,111.87125,-384.686,36.22716666666667
2020-02-11,221.38275,291.1535,109.7505,-420.335,36.19500000000001
2020-02-12,270.1033333333333,291.1955,108.18525000000001,-400.976,36.974000000000004
2020-02-13,190.99900000000002,289.5115,107.75750000000001,-383.246,37.16216666666667
2020-02-14,249.71366666666668,288.2795,105.02974999999999,-405.519,37.90016666666667
2020-02-17,254.944,286.571,104.53125,-386.13,36.73083333333333
2020-02-18,184.1885,287.928,103.70575,-405.255,37.468833333333336
2020-02-19,176.7835,285.5525,103.406,-413.965,36.36833333333333
2020-02-20,251.8996666666667,283.5165,103.31425,-412.968,37.19433333333334
2020-02-21,269.28133333333335,285.8635,102.73175,-459.429,35.99283333333333
2020-02-24,381.95266666666674,335.571,115.22649999999999,-311.163,36.829166666666666
2020-02-25,343.29974999999996,354.21500000000003,123.662,-236.54,36.06583333333334
2020-02-26,394.1453333333334,376.6125,127.4325,-75.977,39.74
2020-02-27,460.266,424.956,141.94025000000002,-151.675,43.31016666666667
2020-02-28,494.00500000000005,428.433,172.29875,-3.507,43.6795
2020-03-02,489.59975,434.144,185.64175,77.717,46.431999999999995
2020-03-03,491.554,425.9,169.19575,58.438,52.19266666666666
2020-03-04,498.53700000000003,428.539,165.0105,63.16,48.82266666666667
2020-03-05,501.791,438.095,169.21375,206.251,64.645
2020-03-06,520.341,457.729,195.94975,406.925,98.57733333333333
2020-03-09,538.5115000000001,508.646,394.05400000000003,409.637,68.73483333333333
2020-03-10,531.9016666666668,518.533,390.54400000000004,409.396,89.37683333333332
