Refdate,Price Mid,YTM,Currenty Yield
2019-07-29,114.12266717619345,3.734301148380248,4.514701467514826
2019-07-30,113.95268636671227,3.7487962065924085,4.5215331366416756
2019-07-31,114.103256081926,3.737507985856081,4.515345653288461
2019-08-01,114.44518728146033,3.7022038002075375,4.502091144983189
2019-08-02,114.67707511128236,3.684120881442454,4.493580312220291
2019-08-05,115.19833304825568,3.6435560479184614,4.474730339956712
2019-08-06,115.29027803541038,3.6346018385789547,4.470879532089134
2019-08-07,116.3367872296082,3.5512740539734855,4.430946583540396
2019-08-08,116.82242983895443,3.5141004422732713,4.411868320050694
2019-08-09,116.84699774890466,3.5137198392170665,4.411075433501677
2019-08-12,116.88105133512855,3.5126560293857967,4.410278469468376
2019-08-13,116.99402738728966,3.5069888718852527,4.406588726588523
2019-08-14,117.38322591633768,3.479490489379189,4.393145244912722
2019-08-15,117.69470117838424,3.4557118709830803,4.382437949728679
2019-08-16,117.8975900552624,3.43959365570643,4.37492160778199
2019-08-19,117.57768297895923,3.465015028259155,4.386930687172663
2019-08-20,117.71345451441896,3.4533881042754233,4.381856569849751
2019-08-21,117.67328445786654,3.4574690098195804,4.383473913670799
2019-08-23,117.94903848412386,3.4341269632143456,4.374201624416818
2019-08-26,117.91059481923728,3.4360722367538177,4.37569812937757
2019-08-27,118.33349721096711,3.407543246517619,4.360737960260064
2019-08-28,118.9715741810102,3.362099106187766,4.338658183685773
2019-08-29,119.26495457895335,3.338241045525625,4.328073955276546
2019-08-30,119.36231910291882,3.3307033138782582,4.324622556510871
2019-09-02,119.36231910291883,3.330703313878236,4.324622556510871
2019-09-03,119.60042940835436,3.3116677034527475,4.316388856357167
2019-09-04,119.98934468852606,3.2790968971929013,4.302701879311699
2019-09-05,119.45391714498719,3.317066790190082,4.32091724573378
2019-09-06,119.1944999539261,3.338018489832617,4.329926807023354
2019-09-09,118.84692876527444,3.363022950622474,4.341887756357776
2019-09-10,117.86657950637843,3.436297204415517,4.3769618916939645
2019-09-11,117.93743207722585,3.4314466151168954,4.374232455143923
2019-09-12,117.6126225600828,3.4561866051692647,4.385706221450891
2019-09-13,116.33163603707993,3.5565631172634893,4.432930592732953
2019-09-16,116.3382622929477,3.5568186104611543,4.430702659475472
2019-09-17,116.49332359887893,3.544433686139681,4.424842016713426
2019-09-18,116.81841169866703,3.5187961779635124,4.412664155755808
2019-09-19,117.17154865472992,3.489761432333527,4.399822863144687
2019-09-20,117.39459165196915,3.4735041445098425,4.3917949673897505
2019-09-23,117.60345470319706,3.4573205815361163,4.384118911172674
2019-09-24,117.48921322923088,3.4669833673913963,4.388687405836578
2019-09-25,116.97365030492985,3.5095073433558888,4.4077867508246715
2019-09-26,117.10110823354587,3.498677852312171,4.40282888228769
2019-09-27,116.99944824466435,3.5064058245917185,4.406278713303258
2019-09-30,117.0100566758341,3.5063724158826304,4.406025308725203
2019-10-01,116.76916506865236,3.5248651495539907,4.415023387041139
2019-10-02,116.71602016820682,3.52974439274516,4.4170742597408275
2019-10-03,117.32467869107586,3.473749363190848,4.3954952497133215
2019-10-04,118.10003515419334,3.4136544277066694,4.368310019880939
2019-10-07,117.92780895809707,3.428882671272526,4.374603009079658
2019-10-08,117.87619701431689,3.4334012504917633,4.376753839540681
2019-10-09,117.79278384725426,3.438508153001152,4.378853743214628
2019-10-10,117.47350381360918,3.4597168536931955,4.389770136478521
2019-10-11,117.1481457608122,3.4854237933111376,4.401368368811487
2019-10-14,117.14814576081221,3.48542379331116,4.4013683688114424
2019-10-15,117.06908851042603,3.4899914876138416,4.40383628614871
2019-10-16,117.09303852677671,3.4860420346281007,4.402653929606526
2019-10-17,116.94349319554917,3.4954465174722005,4.408082094678134
2019-10-18,117.06304515614214,3.485736210577217,4.403835623706298
2019-10-21,116.87868104663409,3.4984365526612438,4.410473142804272
2019-10-22,117.07067246874674,3.481303974881289,4.403484836285587
2019-10-23,117.07294421021523,3.480138664129351,4.403304136387365
2019-10-24,117.10151041728056,3.4744843173458495,4.401941248775043
2019-10-25,117.07542664733788,3.476279006795502,4.402723636740302
2019-10-28,116.70291163826451,3.5063605963322697,4.4162990477135455
2019-10-29,116.59873531993684,3.513768821734309,4.419798832600841
2019-10-30,116.74497146550692,3.5021369692748605,4.414302651627566
2019-10-31,117.28017890485151,3.454616825622603,4.394786514596727
2019-11-01,117.39887368029005,3.4416635873291357,4.389646305824035
2019-11-04,116.94345778506069,3.474203642229634,4.404258267436378
2019-11-05,115.91864534584994,3.542971908574022,4.434496132591059
2019-11-06,115.80095191180448,3.5499392251615136,4.433976484575264
2019-11-07,115.23340491661743,3.5950353569103255,4.455720380268624
2019-11-08,115.2831147639636,3.590934440657012,4.454080284802653
2019-11-11,115.2780592307401,3.591407385460932,4.4542807709497145
2019-11-12,115.08456885939724,3.6088623619288773,4.461708197138847
2019-11-13,115.33724899060707,3.585009366100711,4.452284504385506
2019-11-14,115.66764155087726,3.5598500899362007,4.440045251703384
2019-11-18,115.58730949722289,3.5661067016390824,4.443451176790747
2019-11-19,115.34118513317215,3.587407471804971,4.452949217122915
2019-11-20,115.61315488492369,3.565170518582117,4.442346549334353
2019-11-21,115.83695514366775,3.547810719036315,4.433901272703844
2019-11-22,116.14042655075542,3.522820242057234,4.421902945996092
2019-11-25,116.25404670923226,3.5113650799369456,4.407333385626733
2019-11-26,116.33334364771062,3.5071018086669126,4.404946401744669
2019-11-27,116.14723494025553,3.5226750634742343,4.412032188870385
2019-11-28,116.14354439071964,3.5229774935170433,4.412171339958859
2019-11-29,116.13235359068614,3.523227973136689,4.412433417865125
2019-12-02,115.47630795295136,3.5757823541170186,4.437804914863852
2019-12-03,115.85049920579286,3.542273986169109,4.423297672790638
2019-12-04,115.86412993919977,3.5404512626456164,4.422329753068088
2019-12-05,115.77917336917525,3.5461197622137064,4.4255872740109
2019-12-06,115.9505681429225,3.531529568039238,4.4186642592575875
2019-12-09,116.23536098451963,3.5078846334038127,4.4061215067053405
2019-12-10,116.3688542208934,3.4977429887986355,4.400722630376741
2019-12-11,116.77369048941749,3.4655933620001855,4.385061790627964
2019-12-12,116.59188722558548,3.476062569777283,4.391120311782215
2019-12-13,117.05732813094436,3.4390463595753484,4.373871610816726
2019-12-16,117.21708055875082,3.4290521100244886,4.368179808091854
2019-12-17,117.46800797201993,3.411043766574906,4.35880069119321
2019-12-18,117.38326465051897,3.4199091854441255,4.361893910978409
2019-12-19,116.95732666999854,3.45234700922481,4.377750049233287
2019-12-20,116.89018095721862,3.4566950164925725,4.380467218461548
2019-12-23,116.96302432318335,3.4501213912065953,4.3777040682900115
2019-12-24,116.96075696591573,3.4494231325261415,4.377759110904766
2019-12-25,116.96075606802391,3.449424175892579,4.377759286201344
2019-12-26,116.94598726840641,3.449033258910883,4.37827714136616
2019-12-27,117.0813660048082,3.436827818461241,4.3731988226616725
2019-12-30,116.97296889862403,3.4448483342699454,4.377330365398779
2019-12-31,116.93836367476918,3.4473796265357404,4.378700533460833
2020-01-01,116.93842520392201,3.4473736695197266,4.378698629911915
2020-01-02,117.10078436892525,3.432273932781249,4.372572996349056
2020-01-03,117.50199374624687,3.3978748202256215,4.3581588180714
2020-01-06,117.40545488204002,3.399776100916707,4.352917760168085
2020-01-07,117.33659718054943,3.4173829609772444,4.363499606570009
2020-01-08,117.25730562945812,3.4218951485827542,4.366276288554283
2020-01-09,117.29680489601394,3.4155912743903283,4.363990173134624
2020-01-10,117.53902714743724,3.393714293608596,4.3545635057819165
2020-01-13,117.39877859764053,3.4047219515200178,4.3599658690557375
2020-01-14,117.3698315125566,3.4068514746184553,4.3612744286785965
2020-01-15,117.69938351852419,3.381564289104766,4.349488117524847
2020-01-16,117.87601374079291,3.363352746071646,4.342609135800934
2020-01-17,117.75624272190866,3.3718429625892554,4.347016608368337
2020-01-20,117.75624272190866,3.3718429625892554,4.347016608368293
2020-01-21,117.74913834873317,3.3571585241313207,4.338752208259078
2020-01-22,117.83314229758604,3.354547087624704,4.336060798633179
2020-01-23,117.76506687494957,3.349815526647304,4.328350190371788
2020-01-24,118.01553242466676,3.3317100392552534,4.319426818957806
2020-01-27,118.05249776738178,3.3282682205534986,4.31844131076824
2020-01-28,118.40081110258323,3.3001095533455427,4.306091674519252
2020-01-29,119.20198034536044,3.2371258915486756,4.276971930540485
2020-01-30,119.54590529567379,3.212975364730042,4.2650659198013585
2020-01-31,120.00756097610575,3.179153663778189,4.248961824933839
2020-02-03,119.74764333212697,3.1995319337961403,4.257926605000906
2020-02-04,119.22477232746185,3.235568716430759,4.2757005534097114
2020-02-05,118.87553572990026,3.253408185706075,4.280559423010777
2020-02-06,119.23229544848269,3.2233726332118184,4.267843027119178
2020-02-07,119.56074539518511,3.198773702292401,4.256483189978222
2020-02-10,119.8571097246127,3.177172396626804,4.246044103065727
2020-02-11,120.0428912773338,3.162382979675371,4.238946471858873
2020-02-12,119.98486699277932,3.165211777091881,4.240208647627486
2020-02-13,120.21360456060741,3.1464443759160465,4.2322512044354665
2020-02-14,120.78109350582027,3.102175911916949,4.2121283518736785
2020-02-17,120.78109350582022,3.1021759119169268,4.212128351873656
2020-02-18,121.27623195907591,3.067794380877653,4.195321284365927
2020-02-19,121.30218387293513,3.0666842473411338,4.194169461296671
2020-02-20,121.7143472544408,3.0358900307385195,4.180203320903586
2020-02-21,122.07260879311714,3.0122044618403176,4.169222354243107
2020-02-25,121.92896223367643,3.018466818216914,4.174322320025459
2020-02-26,121.66340447101531,3.0388649991731853,4.1834272658684
2020-02-27,120.60536677621033,3.1143559692411893,4.220149238628768
2020-02-28,120.68553358948432,3.1043558108014624,4.217827300611021
2020-03-02,121.2128940795205,3.057829527139755,4.1995411380065795
2020-03-03,122.73476458199421,2.934973682410047,4.148021068474139
2020-03-04,123.47271100254775,2.864300627241878,4.1227218452375425
2020-03-05,123.28371120353158,2.8755831359156714,4.130092225019966
2020-03-06,124.77036529061478,2.779146308490432,4.084048828251152
2020-03-09,120.24001889418876,3.146212227880363,4.239267927064483
2020-03-10,120.19426586064934,3.1423214759940477,4.239359375338192
2020-03-11,116.3364915587072,3.44608845512564,4.3790611106677035
2020-03-12,110.16257198178897,4.006723617636099,4.634792964545054
2020-03-13,111.69868648612129,3.851379008088096,4.565562375798238
2020-03-16,107.68412506733911,4.231859622670098,4.743248521082766
2020-03-17,106.36190307706896,4.361254977145479,4.799152569067511
2020-03-18,98.11948682393871,5.216759649539449,5.231157687311216
2020-03-19,96.65803003927547,5.386590233156707,5.309767055056347
2020-03-20,100.23806506552297,5.008610829937754,5.105339355411975
2020-03-23,99.61415808413918,5.0721430274424995,5.12801197310464
2020-03-24,102.83932484246003,4.7389690269581175,4.967004479316195
2020-03-25,109.28457870615313,4.105536132392884,4.669295804387419
2020-03-26,111.79751533212722,3.862971206449739,4.56109136246563
2020-03-27,109.00585118438423,4.108019846632893,4.6808566732587265
2020-03-30,108.70621870160944,4.143603496572723,4.696816849461083
2020-03-31,109.63535799657869,4.048800910960404,4.657001084494761
2020-04-01,107.0586966060021,4.289713308502496,4.772066655606344
2020-04-02,106.39001214512571,4.349643942052617,4.803568661198465
2020-04-03,105.24725735575949,4.450106435944323,4.860737105551283
2020-04-06,105.28550552808052,4.435472067464641,4.859676740431307
2020-04-07,105.64283667470517,4.397104636598925,4.8417866893584405
2020-04-08,106.0338583254934,4.357507598450594,4.8206672681548435
2020-04-09,109.08157648903976,4.044899378451072,4.679591694756602
2020-04-10,109.08157648903975,4.044899378451072,4.679591694756646
2020-04-13,110.13195209892733,3.950858665778889,4.632055696932191
2020-04-14,110.56710502671021,3.9103981429194246,4.6119375824503095
2020-04-15,108.99134626691414,4.065680154919438,4.680389716189737
2020-04-16,108.04282958653192,4.163456078404848,4.7235002989811425
2020-04-17,108.41964760195886,4.129784790960378,4.707276329107479
2020-04-20,107.82515112605306,4.189100603245244,4.735311230041894
2020-04-21,106.49515978916816,4.3285170165694,4.804262215416788
2020-04-22,105.47637117238918,4.429097829778805,4.855329117318163
2020-04-23,104.98037511195919,4.477013555776033,4.882603629350046
2020-04-24,103.89333271152661,4.593212159881466,4.9423396185728885
2020-04-27,103.39485022506244,4.644495158558937,4.970504091866035
2020-04-28,103.89542309285275,4.590070732053375,4.945569082936241
2020-04-29,105.44801362693828,4.420824332852735,4.867004648388384
2020-04-30,107.1841668410694,4.254014950571339,4.7852163701668005
