,Refdate,INDUSTRY_SECTOR,Index_Value,Country
167,2020-01-30,Utilities,27.429000000000002,Italy
168,2020-01-31,Communications,0.4868,Italy
169,2020-01-31,"Consumer, Cyclical",235.747,Italy
170,2020-01-31,"Consumer, Non-cyclical",206.20999999999998,Italy
171,2020-01-31,Energy,16.406,Italy
172,2020-01-31,Financial,184.78849999999997,Italy
173,2020-01-31,Industrial,80.662,Italy
174,2020-01-31,Technology,25.28,Italy
175,2020-01-31,Utilities,26.7865,Italy
176,2020-02-03,Communications,0.482,Italy
177,2020-02-03,"Consumer, Cyclical",238.02850000000004,Italy
178,2020-02-03,"Consumer, Non-cyclical",208.29000000000002,Italy
179,2020-02-03,Energy,16.297,Italy
180,2020-02-03,Financial,185.84199999999998,Italy
181,2020-02-03,Industrial,81.747,Italy
182,2020-02-03,Technology,25.76,Italy
183,2020-02-03,Utilities,26.950000000000003,Italy
184,2020-02-04,Communications,0.4918,Italy
185,2020-02-04,"Consumer, Cyclical",235.92849999999996,Italy
186,2020-02-04,"Consumer, Non-cyclical",212.525,Italy
187,2020-02-04,Energy,16.526,Italy
188,2020-02-04,Financial,190.297,Italy
189,2020-02-04,Industrial,84.15700000000001,Italy
190,2020-02-04,Technology,26.67,Italy
191,2020-02-04,Utilities,27.1725,Italy
192,2020-02-05,Communications,0.4895000000000001,Italy
193,2020-02-05,"Consumer, Cyclical",239.51850000000002,Italy
194,2020-02-05,"Consumer, Non-cyclical",212.47,Italy
195,2020-02-05,Energy,16.916,Italy
196,2020-02-05,Financial,193.09699999999998,Italy
197,2020-02-05,Industrial,85.58,Italy
198,2020-02-05,Technology,27.39,Italy
199,2020-02-05,Utilities,27.465999999999998,Italy
200,2020-02-06,Communications,0.502,Italy
201,2020-02-06,"Consumer, Cyclical",238.8785,Italy
202,2020-02-06,"Consumer, Non-cyclical",214.655,Italy
203,2020-02-06,Energy,16.827,Italy
204,2020-02-06,Financial,196.54349999999997,Italy
205,2020-02-06,Industrial,85.87100000000001,Italy
206,2020-02-06,Technology,27.219999999999995,Italy
207,2020-02-06,Utilities,27.633999999999997,Italy
208,2020-02-07,Communications,0.4948,Italy
209,2020-02-07,"Consumer, Cyclical",236.784,Italy
210,2020-02-07,"Consumer, Non-cyclical",213.8,Italy
211,2020-02-07,Energy,16.656,Italy
212,2020-02-07,Financial,196.37399999999997,Italy
213,2020-02-07,Industrial,85.479,Italy
214,2020-02-07,Technology,27.219999999999995,Italy
215,2020-02-07,Utilities,27.621500000000005,Italy
216,2020-02-10,Communications,0.49060000000000004,Italy
217,2020-02-10,"Consumer, Cyclical",237.4515,Italy
218,2020-02-10,"Consumer, Non-cyclical",214.895,Italy
219,2020-02-10,Energy,16.479,Italy
220,2020-02-10,Financial,200.71000000000004,Italy
221,2020-02-10,Industrial,85.85900000000001,Italy
222,2020-02-10,Technology,27.55,Italy
223,2020-02-10,Utilities,27.630499999999998,Italy
224,2020-02-11,Communications,0.4984,Italy
225,2020-02-11,"Consumer, Cyclical",239.52399999999997,Italy
226,2020-02-11,"Consumer, Non-cyclical",217.12,Italy
227,2020-02-11,Energy,16.727,Italy
228,2020-02-11,Financial,201.26850000000005,Italy
229,2020-02-11,Industrial,87.019,Italy
230,2020-02-11,Technology,28.26,Italy
231,2020-02-11,Utilities,27.8645,Italy
232,2020-02-12,Communications,0.5065000000000001,Italy
233,2020-02-12,"Consumer, Cyclical",244.86749999999998,Italy
234,2020-02-12,"Consumer, Non-cyclical",216.27,Italy
235,2020-02-12,Energy,17.0,Italy
236,2020-02-12,Financial,204.2945,Italy
237,2020-02-12,Industrial,88.44800000000001,Italy
238,2020-02-12,Technology,28.58,Italy
239,2020-02-12,Utilities,27.627499999999994,Italy
240,2020-02-13,Communications,0.525,Italy
241,2020-02-13,"Consumer, Cyclical",242.64350000000002,Italy
242,2020-02-13,"Consumer, Non-cyclical",216.13,Italy
243,2020-02-13,Energy,16.826,Italy
244,2020-02-13,Financial,204.67399999999998,Italy
245,2020-02-13,Industrial,87.74099999999999,Italy
246,2020-02-13,Technology,29.35,Italy
247,2020-02-13,Utilities,27.646,Italy
248,2020-02-14,Communications,0.5177,Italy
249,2020-02-14,"Consumer, Cyclical",242.715,Italy
250,2020-02-14,"Consumer, Non-cyclical",217.73999999999998,Italy
251,2020-02-14,Energy,16.683,Italy
